id,smiles,notes,params_json
CHEMBL179874,O=C(NC(c1ccccc1)c1ccccc1)C(NC(=O)n1nnc2ccccc21)c1ccccc1,,
CHEMBL179875,COc1ccccc1Sc1ccc(-c2ccnc(N3CCC(C(=O)O)CC3)c2)cc1C(F)(F)F,,
CHEMBL181016,O=C(Nc1ccccc1)c1ccc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1,,
CHEMBL181020,O=C(NCC1(c2ccc(-c3cccnc3)cc2)CCN(S(=O)(=O)c2ccccc2)CC1)Nc1ccccc1F,,
CHEMBL180877,O=C(Nc1ccc(Oc2cccc(F)c2)cc1)N[C@@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,,
CHEMBL180801,Cc1ccccc1-c1cc(C(OCc2ccc(C(C)(C)C)cc2)c2cncn2C)ccc1C#N,,
CHEMBL180565,CCS/C(=N\C)Nc1ccccc1Cl,,
CHEMBL180576,Cc1c(C(=O)C(N)=O)c2c(OCC(=O)NS(=O)(=O)c3ccccc3)cc3c(c2n1Cc1ccccc1)CCCC3,,
CHEMBL180577,CCCC(=O)SCCCCCCC(=O)Nc1ccccc1,,
CHEMBL178831,Fc1ccccc1-c1nnc2c3c(c(OCc4ccccn4)nn12)C1CCC3CC1,,
CHEMBL180028,O=C(NN1CCCCC1)c1cc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)nc1OCc1ccccc1,,
CHEMBL179953,N[C@@H](Cn1c(=O)n(Cc2c(F)cccc2F)c(=O)n(-c2ccc3nsnc3c2)c1=O)c1ccccc1,,
CHEMBL179954,Cc1ccccc1CNc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n3n2CC2(C3)OCCO2)n1,,
CHEMBL181093,CC(C)N(CCNC(=O)C1c2ccc(OCc3ccccc3)cc2CCN1C(=O)Oc1ccccc1)C(C)C,,
CHEMBL181030,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1c[nH]cn1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,,
